2024-05-14 22:15:45.983 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-14 22:15:46.617 INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-05-14 22:15:47.035 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-14 22:15:47.369 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2e89bd0d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6baa58c6, org.springframework.security.web.context.SecurityContextHolderFilter@14e20b8a, org.springframework.security.web.header.HeaderWriterFilter@60fcfbfd, org.springframework.web.filter.CorsFilter@69220cea, org.springframework.security.web.authentication.logout.LogoutFilter@7f8bd98a, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@61dc4fb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@18ea7bda, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@fda990e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3f87354, org.springframework.security.web.session.SessionManagementFilter@59934340, org.springframework.security.web.access.ExceptionTranslationFilter@5d5e5235, org.springframework.security.web.access.intercept.AuthorizationFilter@41993c7]
2024-05-14 22:15:47.674 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-05-14 22:15:47.693 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-05-14 22:15:47.708 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-14 22:15:47.716 INFO  e.e.e.ErezProjectApplication - Started ErezProjectApplication in 5.284 seconds (process running for 6.059)
2024-05-14 22:15:52.348 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-14 22:15:52.348 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-14 22:15:52.350 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-05-14 22:15:52.512 DEBUG e.e.e.service.impl.TicketServiceImpl - Entering createTicket method with ticketDTO: TicketCreateDTO(subject=test, description=test, status=null)
2024-05-14 22:15:52.512 DEBUG e.e.e.service.impl.TicketServiceImpl - Authenticated user: user
2024-05-14 22:15:52.519 ERROR e.e.e.controller.TicketController - Error creating ticket: Access Denied
2024-05-14 22:15:55.663 DEBUG e.e.e.service.impl.TicketServiceImpl - Entering createTicket method with ticketDTO: TicketCreateDTO(subject=test, description=test, status=null)
2024-05-14 22:15:55.663 DEBUG e.e.e.service.impl.TicketServiceImpl - Authenticated user: user
2024-05-14 22:15:55.663 ERROR e.e.e.controller.TicketController - Error creating ticket: Access Denied
2024-05-14 22:17:25.449 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 1 deletion, 0 modifications)
2024-05-14 22:17:25.454 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2024-05-14 22:17:25.462 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-14 22:17:25.465 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
